prediction,regime,surprise,tick,vector
"[0.23961799266492712, 0.4500366857494631, 0.7849767694435633, 0.3802918430551355]",stable,0.0,0,"[0.23961799266492712, 0.4500366857494631, 0.7849767694435633, 0.3802918430551355]"
"[0.23961799266492712, 0.4500366857494631, 0.7849767694435633, 0.3802918430551355]",stable,0.14274424147082135,1,"[0.23335910270998828, 0.4105541519533553, 0.6622910181440346, 0.3192502119930357]"
"[0.2364885476874577, 0.4302954188514092, 0.7236338937937989, 0.3497710275240856]",stable,0.28372351826465314,2,"[0.16358384245457763, 0.4113078594715108, 0.45062334939953164, 0.33278120675633016]"
"[0.16358384245457763, 0.4113078594715108, 0.45062334939953164, 0.33278120675633016]",stable,0.23166087022499673,3,"[0.2373565197613326, 0.6114948119031478, 0.5341542498956388, 0.3670174976599767]"
"[0.20047018110795511, 0.5114013356873293, 0.4923887996475852, 0.34989935220815344]",stable,0.1672818316081965,4,"[0.31687897376468177, 0.5299276121730386, 0.5123425289987713, 0.46690717221583883]"
"[0.23927311199353066, 0.5175767611825658, 0.49904004276464725, 0.3889019588773819]",stable,0.3035035743750105,5,"[0.29415093949755405, 0.584099636102466, 0.6790360303414991, 0.6175479631623274]"
"[0.29415093949755405, 0.584099636102466, 0.6790360303414991, 0.6175479631623274]",stable,0.14926846878490446,6,"[0.4095399296650919, 0.5559166990627935, 0.7078222470690351, 0.5318535496463984]"
"[0.351845434581323, 0.5700081675826297, 0.6934291387052671, 0.5747007564043629]",stable,0.09068831454781072,7,"[0.3891057598714846, 0.6271462830105837, 0.7482548482201296, 0.550922280920688]"
"[0.36426554301137687, 0.5890542060586145, 0.7117043752102212, 0.5667745979098046]",stable,0.17245836279716978,8,"[0.47806191181338176, 0.4930798304022793, 0.7942240639868431, 0.538995225567283]"
"[0.3927146352118781, 0.5650606121445306, 0.7323342974043767, 0.5598297548241742]",stable,0.20549418728920033,9,"[0.5251160411111753, 0.5093572511808513, 0.8377220578570393, 0.6622420795202807]"
"[0.4191949163917375, 0.5539199399517948, 0.7534118494949092, 0.5803122197633954]",stable,0.13062727789629047,10,"[0.4599911623188808, 0.5220058076172006, 0.8732242930931581, 0.5752507412053856]"
"[0.425994290712928, 0.548600917896029, 0.7733805900946175, 0.5794686400037271]",stable,0.21319571264467344,11,"[0.449922229001672, 0.6531415328385377, 0.9326738962023042, 0.6720794823281826]"
"[0.42941256761131996, 0.5635352914592445, 0.7961367766814299, 0.5926987603357922]",stable,0.20963414543640793,12,"[0.5969019455220328, 0.6441816589516527, 0.8569497906996348, 0.5172552453312769]"
"[0.4503487398501591, 0.5736160873957955, 0.8037384034337055, 0.5832683209602277]",stable,0.08507415496685504,13,"[0.5212439758404249, 0.5803441561072776, 0.7768136173123701, 0.6212323347225119]"
"[0.45822598829352196, 0.5743636505859602, 0.8007467605313349, 0.5874865447115927]",stable,0.1649136835301432,14,"[0.319191666789902, 0.5639143232299734, 0.7323448869975759, 0.532007037554559]"
"[0.44432255614315996, 0.5733187178503615, 0.793906573177959, 0.5819385939958892]",stable,0.34557747766515573,15,"[0.2254376483677746, 0.6176377063045404, 0.5492198392116536, 0.4835647168695244]"
"[0.23581424608709164, 0.5425919974630594, 0.5115849918763988, 0.4125676483754175]",stable,0.15034164434058578,16,"[0.30870005708315, 0.6520287462279681, 0.47824705080232915, 0.47739394152245895]"
"[0.25039140828630335, 0.5644793472160412, 0.5049174036615849, 0.42553290700482577]",stable,0.23814320048369106,17,"[0.11430326188523454, 0.6890709323841493, 0.39088892940002784, 0.3272138126812091]"
"[0.2277100505527919, 0.5852446114107259, 0.4859126579513254, 0.409146391284223]",stable,0.2716499806667435,18,"[0.18307780749690494, 0.6358059071150912, 0.2861509716897808, 0.23785570573862092]"
"[0.18307780749690494, 0.6358059071150912, 0.2861509716897808, 0.23785570573862092]",stable,0.163227721227071,19,"[0.23155836859255177, 0.6961787770440905, 0.35961216184010975, 0.3613526461503858]"
"[0.20731808804472834, 0.6659923420795908, 0.3228815667649453, 0.2996041759445034]",stable,0.14230027487509708,20,"[0.18775099276852716, 0.5714233573790546, 0.3781406601634648, 0.3883151490056963]"
"[0.22200161372646837, 0.5832701465490586, 0.47051665826734534, 0.4061704995301477]",stable,0.19317961045262833,21,"[0.2183757446390378, 0.6986669158601866, 0.3165852213598336, 0.3890265988032687]"
"[0.21100397357616485, 0.6768838666731227, 0.32078278496324136, 0.32941165023075847]",stable,0.11234110637511575,22,"[0.13771860442687678, 0.6557978553433274, 0.38702503396967447, 0.37857589967084554]"
"[0.19268263128884283, 0.6716123638406739, 0.3373433472148496, 0.3417027125907802]",stable,0.07523923940193118,23,"[0.1841216575774512, 0.6872366013433011, 0.3421507436998525, 0.4146439561803397]"
"[0.19097043654656448, 0.6747372113411993, 0.3383048265118502, 0.3562909613086921]",stable,0.14074251252077585,24,"[0.2678450782640577, 0.673357382962718, 0.4077772224892966, 0.4515297483771267]"
"[0.22773204679366704, 0.594531051100766, 0.46267422879508924, 0.4118404056360201]",stable,0.37347482028913004,25,"[0.5317182466634353, 0.6839577354373317, 0.35564567018178145, 0.5780438576111859]"
"[0.5317182466634353, 0.6839577354373317, 0.35564567018178145, 0.5780438576111859]",stable,0.11186971947421422,26,"[0.5980523124162913, 0.6020183557691355, 0.38903987900989206, 0.5611503460676706]"
"[0.5648852795398633, 0.6429880456032336, 0.37234277459583676, 0.5695971018394282]",stable,0.1846648767718369,27,"[0.7421877713165298, 0.6453412333179683, 0.38086091375088005, 0.6204581570374614]"
"[0.6239861101320855, 0.6437724415081453, 0.3751821543141845, 0.5865507869054393]",stable,0.27581772460674314,28,"[0.8720281796757781, 0.6153084389500549, 0.4749373996434829, 0.6481075942575728]"
"[0.8720281796757781, 0.6153084389500549, 0.4749373996434829, 0.6481075942575728]",stable,0.1663457018807936,29,"[0.8612749958805185, 0.7576158448922848, 0.39201870111251114, 0.6688042901388584]"
"[0.8666515877781482, 0.6864621419211698, 0.433478050377997, 0.6584559421982157]",stable,0.11299224469883992,30,"[0.8014774551711069, 0.6075056902520714, 0.4016101466101712, 0.6940915318561998]"
"[0.8449268769091344, 0.660143324698137, 0.4228554157887217, 0.6703344720842104]",stable,0.08982115986808435,31,"[0.9062391061198051, 0.6992199318627128, 0.37927888517693886, 0.7000456831267095]"
"[0.8602549342118021, 0.669912476489281, 0.411961283135776, 0.6777622748448351]",stable,0.1228321494633444,32,"[0.7803726130972947, 0.6291293618690309, 0.3681318808944993, 0.6061922198204884]"
"[0.8442784699889007, 0.661755853565231, 0.4031954026875207, 0.6634482638399658]",stable,0.05467009020230453,33,"[0.8104325851196797, 0.648465285685182, 0.40587350223733776, 0.7041847760664026]"
"[0.8386374891773638, 0.6595407589185562, 0.4036417526124902, 0.6702376825443719]",stable,0.19945383060072475,34,"[0.7558557291194412, 0.608695049773797, 0.5607748637517983, 0.5950518461902851]"
"[0.8268115234548034, 0.6522770861835906, 0.42608933991810566, 0.6594968487795023]",stable,0.27033115469049507,35,"[0.6860012139439702, 0.5133019819005217, 0.6102610771831687, 0.6552446124221901]"
"[0.6860012139439702, 0.5133019819005217, 0.6102610771831687, 0.6552446124221901]",stable,0.1859894130105577,36,"[0.7775953270110745, 0.5922402897468652, 0.7147443649428102, 0.5600891273635022]"
"[0.7317982704775223, 0.5527711358236934, 0.6625027210629895, 0.6076668698928462]",stable,0.15823410103922741,37,"[0.6531920251588084, 0.4835537337688462, 0.75386695381036, 0.6833016314502712]"
"[0.7055961887046177, 0.5296986684720777, 0.692957465312113, 0.6328784570786546]",stable,0.1527267564512808,38,"[0.6175708086436587, 0.43965077871214986, 0.7694467725078787, 0.592657094151123]"
"[0.6835898436893779, 0.5071866960320958, 0.7120797921110544, 0.6228231163467717]",stable,0.25640503755961,39,"[0.6137718461679881, 0.38328555752444016, 0.8507705612463797, 0.46070473694083613]"
"[0.6137718461679881, 0.38328555752444016, 0.8507705612463797, 0.46070473694083613]",stable,0.42766462944877653,40,"[0.4249448072987, 0.5205614805808464, 0.4947079344383434, 0.42050384872940033]"
"[0.2496445757386707, 0.586312209931886, 0.4662335294221175, 0.41280301042417344]",stable,0.0877063521594803,41,"[0.30060481392782756, 0.571455384652688, 0.512337007447097, 0.3603701734853735]"
"[0.2547405995575864, 0.5848265274039662, 0.4708438772246154, 0.40755972673029345]",stable,0.1738242384822571,42,"[0.1938424795471358, 0.44388546642702265, 0.4425996874808559, 0.331112568905157]"
"[0.24920440682936362, 0.5720137036787896, 0.46827622361154636, 0.4006099851098265]",stable,0.16390496371231955,43,"[0.26817419030136025, 0.5083072365721094, 0.32487393280318344, 0.44399493047410626]"
"[0.25078522211869664, 0.5667048314198996, 0.4563260327108494, 0.4042253972235165]",stable,0.12112816640039588,44,"[0.275585990403339, 0.5158364858460962, 0.34980948047372046, 0.41534250593543276]"
"[0.2526929735252076, 0.5627918817603762, 0.44813245176953187, 0.40508055943212545]",stable,0.18234649907618306,45,"[0.3431020614520742, 0.44246262652095464, 0.40353619862944606, 0.31229862646581974]"
"[0.2591507655199838, 0.5541969349575604, 0.44494700511666857, 0.3984532785059608]",stable,0.18374667544709467,46,"[0.3244342227343213, 0.385803875615416, 0.4139819811316849, 0.38482038420555176]"
"[0.2635029960009396, 0.5429707310014175, 0.44288267018433636, 0.3975444188859335]",stable,0.20733889162803973,47,"[0.2620953800633242, 0.4048442326097682, 0.5830789899664115, 0.3323255798856874]"
"[0.2450241584794132, 0.4218116901041955, 0.6767822591846698, 0.3439558783112862]",stable,0.1525413903172678,48,"[0.36548783421063663, 0.4105269602380738, 0.6062756422503286, 0.40444431050761953]"
"[0.2751400774122191, 0.4189905076376651, 0.6591556049510845, 0.3590779863603696]",stable,0.07861229150237047,49,"[0.31392446142041897, 0.3658833279062031, 0.7020939773672227, 0.3624820380023649]"
"[0.2828969542138591, 0.4083690716913727, 0.6677432794343121, 0.35975879668876865]",stable,0.18606977835437724,50,"[0.24820046890779002, 0.25073897400361106, 0.7299112880070132, 0.42835914171198325]"
"[0.2771142066628476, 0.3820973887434125, 0.678104614196429, 0.3711921875259711]",stable,0.20692815037550177,51,"[0.23809778870056178, 0.3861922588929606, 0.8811935800209534, 0.3652691354409402]"
"[0.2715404326682353, 0.38268237019334794, 0.7071173235999325, 0.37034603722810955]",stable,0.2094672827602912,52,"[0.3535829427552279, 0.34638726480022136, 0.8956933364837139, 0.3866960150557175]"
"[0.2817957464291094, 0.3781454820192071, 0.7306893252104052, 0.37238978445656057]",stable,0.1646068639934263,53,"[0.32852768979296076, 0.3071064900517362, 0.8601506409491675, 0.31666928113307796]"
"[0.2869881845806484, 0.37025226068948813, 0.7450739158480455, 0.36619861742061804]",stable,0.23363999532524213,54,"[0.2411665494106689, 0.3082118104509837, 0.9051489832606652, 0.21449172735633196]"
"[0.2824060210636504, 0.36404821566563766, 0.7610814225893076, 0.3510279284141894]",stable,0.21399769512346095,55,"[0.37723848749522143, 0.2373124857456061, 0.8860550772023494, 0.42259228576444885]"
"[0.2910271543756114, 0.3525267856729075, 0.7724426639177658, 0.35753377908239475]",stable,0.10905391935005662,56,"[0.2647637045667498, 0.25031995384138805, 0.7753595150817456, 0.38488782880079575]"
"[0.28883853355820627, 0.3440095496869476, 0.7726857348480975, 0.35981328322559486]",stable,0.28951631368462827,57,"[0.534482377606251, 0.31464733230855385, 0.8263380373649036, 0.5003055904744441]"
"[0.2635029960009396, 0.5429707310014175, 0.44288267018433636, 0.3975444188859335]",stable,0.44169076159458187,58,"[0.5984516255101631, 0.3843640232503213, 0.6462062496133731, 0.5256208756311811]"
"[0.666562200053535, 0.4826221614757409, 0.6989050836115182, 0.6033826682036535]",stable,0.22330670577846937,59,"[0.5952675570024101, 0.3467250213743911, 0.6660826828030267, 0.44451915434573386]"
"[0.2635029960009396, 0.5429707310014175, 0.44288267018433636, 0.3975444188859335]",stable,0.4709474965246319,60,"[0.5776215539131729, 0.2992847123103563, 0.6937687810952078, 0.42572880648749056]"
"[0.2635029960009396, 0.5429707310014175, 0.44288267018433636, 0.3975444188859335]",stable,0.4424639593583565,61,"[0.5435763978447804, 0.4641771580283854, 0.7267098901586956, 0.5723784172113793]"
"[0.6460645663520759, 0.47954799423451494, 0.7035392180360477, 0.5982152930382745]",stable,0.15863800809983591,62,"[0.5339764250487241, 0.5059183145545727, 0.7949460912437762, 0.5386195219664338]"
"[0.45247290786184763, 0.5671914084598352, 0.794001074820306, 0.5780004965386659]",stable,0.10820185463770556,63,"[0.5481927076746357, 0.5783233522559675, 0.7712180645859753, 0.6216167268070084]"
"[0.46044955784624664, 0.5681190704428462, 0.7921024906341118, 0.5816351823943612]",stable,0.1223068680410731,64,"[0.5098307500738349, 0.48407333437849004, 0.8599530879748879, 0.6108426902322253]"
"[0.4642481110945227, 0.5616540138225111, 0.797321767352633, 0.5838819137665046]",stable,0.15909777376244308,65,"[0.5425659741420206, 0.619842623616846, 0.9201499324182798, 0.6104477094565975]"
"[0.4698422441693439, 0.5658103430935351, 0.806095207714465, 0.5857794706015111]",stable,0.18966706472820974,66,"[0.4110248064603227, 0.479895496207763, 0.9512308059804122, 0.5219954470176996]"
"[0.4659210816554092, 0.5600826866344837, 0.8157709142655281, 0.5815272023625904]",stable,0.13225212018518093,67,"[0.41193274156519827, 0.5947106499941313, 0.9003836946639345, 0.5026763052554983]"
"[0.46254681039977097, 0.5622469343444616, 0.8210592130404285, 0.5765990212933971]",stable,0.20590725414932406,68,"[0.3699686332150941, 0.4332524121574269, 0.9461270797717671, 0.5372859143507038]"
"[0.45710103527126056, 0.5546590212746361, 0.828416146377566, 0.5742864855908858]",stable,0.12297726201031352,69,"[0.5656119480546707, 0.5374628122801621, 0.7747039137496862, 0.587250869140108]"
"[0.6345713351667323, 0.48782153966960745, 0.7137056031379961, 0.5966489467671078]",stable,0.23518803389450113,70,"[0.5019265560988841, 0.43945733919580093, 0.8722716040362851, 0.4954733501795114]"
"[0.45959134198390633, 0.5482589278258119, 0.8308525606919394, 0.5699079780680316]",stable,0.14073829658946563,71,"[0.45484135257051744, 0.4357779445848323, 0.8984505741257428, 0.5192795007413048]"
"[0.4593413425410963, 0.5423388760762865, 0.8344103508726658, 0.5672433213666249]",stable,0.2068720084271519,72,"[0.6140018710201187, 0.46154181323147075, 0.8137317951472522, 0.4580628250770633]"
"[0.6345713351667323, 0.48782153966960745, 0.7137056031379961, 0.5966489467671078]",stable,0.24781117431725377,73,"[0.4580183428720777, 0.4789502286970359, 0.8569842565534097, 0.4985064669462182]"
"[0.45927519255764543, 0.539169443707324, 0.8355390461567029, 0.5638064786456045]",stable,0.08286940615808319,74,"[0.4384209903462282, 0.6178076959926005, 0.8216648443614305, 0.5712879577226277]"
"[0.45828213530948275, 0.5429141223875753, 0.8348783698807376, 0.5641627395540342]",stable,0.08898141445777615,75,"[0.43166883309605764, 0.5614436689797252, 0.9172719192873425, 0.5553659683580706]"
"[0.4570724397543271, 0.5437563745054003, 0.8386235312174013, 0.5637628863178541]",stable,0.14331460788498446,76,"[0.48132540843141314, 0.5870731670732972, 0.7103200538072548, 0.6039218642638746]"
"[0.45812691665333083, 0.5456397133127001, 0.8330451191560906, 0.5655089288372462]",stable,0.2617444895503245,77,"[0.6019194071990139, 0.5532726974951596, 0.616772074411077, 0.5971570747832762]"
"[0.6304898441707675, 0.49600293439780146, 0.7015889120471313, 0.5967124627691289]",stable,0.30472253601056726,78,"[0.6735147138217231, 0.6250280568022558, 0.4548501717994702, 0.712803790583667]"
"[0.6363682610544948, 0.6390863453316729, 0.39509915868550594, 0.6181140378249962]",stable,0.14530921493984145,79,"[0.7187650976282621, 0.7231159523808395, 0.47328249477966583, 0.6520539901735073]"
"[0.8133057202264857, 0.6611319444582466, 0.43198848427580067, 0.6585664914537529]",stable,0.211846475993537,80,"[0.6073816598317793, 0.6431251250546423, 0.4778460695615594, 0.6517074049137771]"
"[0.6305709408099517, 0.6398941012762667, 0.41164854086071667, 0.6248327112427524]",stable,0.1383238811535458,81,"[0.5947147657333651, 0.7533106525917015, 0.37270560705079264, 0.5659432843458412]"
"[0.6245949116305206, 0.6587968598288391, 0.405158051892396, 0.6150178067599339]",stable,0.23980988812544535,82,"[0.42248689774119164, 0.6860810340023091, 0.42138014602206236, 0.4899036562166424]"
"[0.2734394898597054, 0.5519151249389731, 0.4415387624241942, 0.4033168712191028]",stable,0.19789968963887644,83,"[0.3470081072945014, 0.6285339561260128, 0.5706895532507453, 0.5091543580765703]"
"[0.277767055591164, 0.556422115008799, 0.44913586776693254, 0.40954260574013035]",stable,0.29641557214062925,84,"[0.4870316328450728, 0.6257628674996231, 0.5983726041637824, 0.5398913098680305]"
"[0.614550042912357, 0.5104207047424483, 0.6901204333934259, 0.5903990013356736]",stable,0.213604916045394,85,"[0.46615813279048374, 0.6631716546466926, 0.6763156666914056, 0.5995355701005618]"
"[0.45846155065904554, 0.5505368775349498, 0.8265147253033954, 0.5669267055565511]",stable,0.10236191144796486,86,"[0.5163000382766596, 0.5610082735955362, 0.7431419516804567, 0.5754120310275426]"
"[0.4607750901637501, 0.5509557333773734, 0.8231798143584779, 0.5672661185753909]",stable,0.20626634891915335,87,"[0.48782351221039194, 0.6734002163406271, 0.6722611638361293, 0.5036650252074357]"
"[0.4618154140886209, 0.5556651365682677, 0.817375250876849, 0.5648199226766234]",stable,0.29073072919457615,88,"[0.4028059137231857, 0.6033401590569605, 0.5419931448286865, 0.5106532939850305]"
"[0.2847136588207208, 0.5590286730114746, 0.4542946053814744, 0.41515986619818035]",stable,0.05811695782325053,89,"[0.2896028212719697, 0.5990437557261441, 0.48324017193013213, 0.3849171115341262]"
"[0.2849709831602602, 0.5611347299964573, 0.4558180562524564, 0.4135681422684933]",stable,0.04561501194255913,90,"[0.2830977826631466, 0.5340232477406831, 0.4301743912875954, 0.3874034635683406]"
"[0.28487732313540454, 0.5597791558836686, 0.4545358730042134, 0.41225990833348564]",stable,0.060196236517811655,91,"[0.28738893133037235, 0.5825297958588047, 0.4691333322776746, 0.35853280829389045]"
"[0.28499692352564104, 0.5608625196920084, 0.4552309901124734, 0.40970147499826687]",stable,0.15805857604501772,92,"[0.16633488844754346, 0.5710136028438354, 0.38977940549512247, 0.3289866654870909]"
"[0.18686451186339434, 0.6574499432583053, 0.3468839230090623, 0.35174024533842524]",stable,0.19199162717470078,93,"[0.2963579603099593, 0.6202611671648975, 0.3233675772078454, 0.5031864274141075]"
"[0.28551333428856457, 0.5635624582135034, 0.4492371986168085, 0.4139507910171687]",stable,0.23313503673480082,94,"[0.4346156676007298, 0.631781473966525, 0.3382714118561504, 0.5370491241191326]"
"[0.5974550196262649, 0.6549375189913657, 0.39560281760150373, 0.6038794235255337]",stable,0.0833930786228691,95,"[0.5961565343210135, 0.6053377915246739, 0.45480606380020216, 0.6353049254766288]"
"[0.5972927089631085, 0.6487375530580292, 0.40300322337634104, 0.6078076112694206]",stable,0.17798421883551754,96,"[0.7512548578811552, 0.7039628033192838, 0.47012470732899725, 0.587340149760926]"
"[0.8064111799658934, 0.6658909287761396, 0.4362258423928225, 0.6506524534878833]",stable,0.06965973946986714,97,"[0.7555897830448803, 0.6364002477077253, 0.47359740375607445, 0.6488273372175121]"
"[0.801329040273792, 0.6629418606692983, 0.43996299852914766, 0.6504699418608462]",stable,0.04694194648088058,98,"[0.8324822064020642, 0.6734552951463273, 0.4065397878893235, 0.6481497553120324]"
"[0.8041611462854532, 0.6638976274399373, 0.4369245248346182, 0.650259015810954]",stable,0.13007402870036364,99,"[0.8320857300388466, 0.7780254985018392, 0.3891944625809617, 0.6213429170304701]"
"[0.8064881949315693, 0.6734082833617624, 0.4329470196468135, 0.6478493409125803]",stable,0.10405078256060964,100,"[0.8423177436107665, 0.6478267981949569, 0.4803251613028252, 0.7293582858376847]"
"[0.8092443140607384, 0.6714404768104697, 0.4365914920818913, 0.654119259752973]",stable,0.19051562032902114,101,"[0.8317714343205651, 0.779680590540479, 0.35645182889569693, 0.786974228069062]"
"[0.8108533940792974, 0.6791719135054705, 0.43086723042573455, 0.6636089003469793]",stable,0.25127279565785704,102,"[1.0, 0.7510248328000364, 0.4861597253822661, 0.8019616281723609]"
"[1.0, 0.7510248328000364, 0.4861597253822661, 0.8019616281723609]",stable,0.2716766197037845,103,"[0.7954463162537261, 0.774007825678073, 0.40361237055445465, 0.6450422462949026]"
"[0.8098262555575926, 0.6854943076503106, 0.4290502397676492, 0.6623711234101742]",stable,0.26481806182831746,104,"[1.0, 0.721206535481359, 0.48154919292987514, 0.8353770467060955]"
"[0.8098262555575926, 0.6854943076503106, 0.4290502397676492, 0.6623711234101742]",stable,0.1541878798817791,105,"[0.925046776793068, 0.6430422191788817, 0.39983362036609604, 0.7509281283494903]"
"[0.8170275381348098, 0.6828410521208463, 0.42722420105505216, 0.6679059362188815]",stable,0.2102371098629073,106,"[0.8847608709849232, 0.7019568158151054, 0.4591638456508157, 0.8634213695381094]"
"[0.8170275381348098, 0.6828410521208463, 0.42722420105505216, 0.6679059362188815]",stable,0.22016119291566305,107,"[0.9824132554689531, 0.7290611714506263, 0.46151841679640515, 0.8013455206897014]"
"[0.8170275381348098, 0.6828410521208463, 0.42722420105505216, 0.6679059362188815]",stable,0.19227601786340814,108,"[0.9103685493467094, 0.6786691031092449, 0.3077265298899208, 0.7860601748178603]"
"[0.8170275381348098, 0.6828410521208463, 0.42722420105505216, 0.6679059362188815]",stable,0.19070775859760064,109,"[0.9560383416061491, 0.7768035390214237, 0.37210754055055223, 0.7398687773097106]"
"[0.9555968362344558, 0.7264536662796326, 0.4280375418666391, 0.8046724195389731]",stable,0.1090655918353073,110,"[0.9688183721437794, 0.7566726002196059, 0.3783823989418096, 0.7133396372358449]"
"[0.9574856270786449, 0.7307706568424859, 0.4209439500202349, 0.7916248792099548]",stable,0.3249672854933202,111,"[0.8155017816163551, 0.547609273991394, 0.5402109589010181, 0.5975331156202944]"
"[0.8169377877513713, 0.6748862416426433, 0.4338704809283443, 0.6637663585366117]",stable,0.2609278793030687,112,"[0.5931234562351742, 0.5810656746300445, 0.5290253754736762, 0.6753314117165945]"
"[0.5968294586600047, 0.6412184554549198, 0.41700568472048943, 0.6153102557635511]",stable,0.18330796782700354,113,"[0.6744409896562316, 0.5311659736075325, 0.5349875840732452, 0.5759785384143918]"
"[0.6205391375867444, 0.5124952316289567, 0.6746071484614078, 0.5889569550435454]",stable,0.1696334237155957,114,"[0.5569784358370888, 0.4446170084819262, 0.7810784914514892, 0.49519163320835663]"
"[0.6205391375867444, 0.5124952316289567, 0.6746071484614078, 0.5889569550435454]",stable,0.11427354338744602,115,"[0.5088373819911657, 0.5024000740153295, 0.6963582005625036, 0.5914348655422413]"
"[0.6103844325326009, 0.5115774900277179, 0.6765845168342346, 0.5891822196343358]",stable,0.17834600047889076,116,"[0.5745538732117401, 0.4814937772356278, 0.842404667538927, 0.6352486363659086]"
"[0.4659909125746624, 0.5529180491855773, 0.8183022663087778, 0.5674283935540043]",stable,0.07338104281637037,117,"[0.511064055967875, 0.6015465321535653, 0.7952451476170802, 0.5460548325184177]"
"[0.46760066769584857, 0.5546547807201483, 0.8174787977840744, 0.5666650520884476]",stable,0.09046193184133988,118,"[0.4287527065499372, 0.4887659016174766, 0.8309472738875958, 0.6130488077504826]"
"[0.46626108282874823, 0.5523827504062631, 0.8179432279945406, 0.5682644919388626]",stable,0.08540728668482865,119,"[0.48259932615054374, 0.5907894836985483, 0.8274001765360002, 0.6421763001031997]"
"[0.4668056909394747, 0.5536629748493392, 0.8182584596125893, 0.5707282188776739]",stable,0.2684493138205517,120,"[0.6374962975282301, 0.48385905845995325, 0.6405241292080398, 0.6511500564930743]"
"[0.4668056909394747, 0.5536629748493392, 0.8182584596125893, 0.5707282188776739]",stable,0.29031965383193775,121,"[0.7139914883754448, 0.6072040392873342, 0.675730798642344, 0.5687525609525693]"
"[0.6204397341355604, 0.5168011913886296, 0.6737449702328434, 0.5923774641094876]",stable,0.2194471658065521,122,"[0.6542441610072276, 0.6248352626440932, 0.4933750582347905, 0.6453836297715173]"
"[0.602570928894727, 0.6395801361738372, 0.42464262207191955, 0.6183175931643478]",stable,0.3519945397680272,123,"[0.8716227219527519, 0.5386398792596054, 0.5751476202102757, 0.754957992564486]"
